id,name,bin_checksum_1,location_id/id,kind,zone,corridor,shelf,height,box
__import__.location_loc_GF09C3,GF09C3,55,__import__.location_family_G,bin,G,F,0,9,C3
__import__.location_loc_GE32B3,GE32B3,21,__import__.location_family_G,bin,G,E,3,2,B3
__import__.location_loc_AC04A2,AC04A2,09,__import__.location_family_A,bin,A,C,04,A,2
__import__.location_loc_AC04A1,AC04A1,01,__import__.location_family_A,bin,A,C,04,A,1
__import__.location_loc_AF07A3,AF07A3,09,__import__.location_family_A,bin,A,F,07,A,3
__import__.location_loc_QEC410,QEC410,67,__import__.location_family_Q,bin,Q,E,C,4,10
__import__.location_loc_GD19B3,GD19B3,95,__import__.location_family_G,bin,G,D,1,9,B3
__import__.location_loc_GK13A5,GK13A5,63,__import__.location_family_G,bin,G,K,1,3,A5
__import__.location_loc_GK14A5,GK14A5,43,__import__.location_family_G,bin,G,K,1,4,A5
__import__.location_loc_GBK403,GBK403,75,__import__.location_family_G,bin,G,B,K,4,03
__import__.location_loc_GBR202,GBR202,81,__import__.location_family_G,bin,G,B,R,2,02
__import__.location_loc_GGL401,GGL401,95,__import__.location_family_G,bin,G,G,L,4,01
__import__.location_loc_GD02D5,GD02D5,05,__import__.location_family_G,bin,G,D,0,2,D5
__import__.location_loc_GI13B4,GI13B4,14,__import__.location_family_G,bin,G,I,1,3,B4
__import__.location_loc_GF14B5,GF14B5,73,__import__.location_family_G,bin,G,F,1,4,B5
__import__.location_loc_AB07B1,AB07B1,02,__import__.location_family_A,bin,A,B,07,B,1
__import__.location_loc_GD04A5,GD04A5,45,__import__.location_family_G,bin,G,D,0,4,A5
__import__.location_loc_AF03B5,AF03B5,44,__import__.location_family_A,bin,A,F,03,B,5
__import__.location_loc_AE02A3,AE02A3,41,__import__.location_family_A,bin,A,E,02,A,3
__import__.location_loc_GD26B5,GD26B5,86,__import__.location_family_G,bin,G,D,2,6,B5
__import__.location_loc_AI10A3,AI10A3,07,__import__.location_family_A,bin,A,I,10,A,3
__import__.location_loc_AI08A1,AI08A1,64,__import__.location_family_A,bin,A,I,08,A,1
__import__.location_loc_AA06A1,AA06A1,04,__import__.location_family_A,bin,A,A,06,A,1
__import__.location_loc_AEA110,AEA110,04,__import__.location_family_A,bin,A,E,A1,1,0
__import__.location_loc_GF28F9,GF28F9,15,__import__.location_family_G,bin,G,F,2,8,F9
__import__.location_loc_QCA410,QCA410,58,__import__.location_family_Q,bin,Q,C,A,4,10
__import__.location_loc_QEC420,QEC420,68,__import__.location_family_Q,bin,Q,E,C,4,20
__import__.location_loc_AD02A2,AD02A2,10,__import__.location_family_A,bin,A,D,02,A,2
__import__.location_loc_GBD515,GBD515,76,__import__.location_family_G,bin,G,B,D,5,15
__import__.location_loc_GBK505,GBK505,84,__import__.location_family_G,bin,G,B,K,5,05
__import__.location_loc_AF07A1,AF07A1,42,__import__.location_family_A,bin,A,F,07,A,1
__import__.location_loc_GC05D2,GC05D2,78,__import__.location_family_G,bin,G,C,0,5,D2
__import__.location_loc_GBX209,GBX209,61,__import__.location_family_G,bin,G,B,X,2,09
__import__.location_loc_GF28C4,GF28C4,65,__import__.location_family_G,bin,G,F,2,8,C4
__import__.location_loc_AA05B4,AA05B4,86,__import__.location_family_A,bin,A,A,05,B,4
__import__.location_loc_GD07C5,GD07C5,90,__import__.location_family_G,bin,G,D,0,7,C5
